5 DIgit NTD ID,Agency,Organization Type,Mode,Type of Service,Rail (Y/N),Primary UZA Code,Primary UZA Name,Primary UZA Sq Miles,Primary UZA Population,Service Area Sq Miles,Service Area Population,Year,Month,Vehicles,Vehicle Revenue Miles,Vehicle Revenue Hours,Ridership,Total Events,Total Fatalities,Total Injuries
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,5,40,59635,1334,12803,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,VP,PT,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,6,40,61439,1350,13268,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,7,7,15274,601,24290,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,8,7,16567,650,23095,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,9,7,16433,625,22269,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,10,7,18701,688,25029,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,11,7,15012,552,18938,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2014,12,7,17190,707,20656,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,1,7,15810,579,20768,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,2,7,15576,571,18543,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,3,7,17190,677,22731,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,4,7,17378,632,23762,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,5,7,15810,579,21710,0,0,0
40159,Regional Transportation Authority,Independent Public Agency or Authority of Transit Service,CR,PT,True,44.0,"Nashville-Davidson, TN",563.0,969587.0,750.0,1583115.0,2015,6,7,17190,579,23736,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2014,7,20,37879,835,6316,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2014,8,21,39896,872,6552,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2014,9,20,38812,834,6523,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2014,10,20,39433,857,7798,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2014,11,20,32657,742,5296,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2014,12,20,34737,769,5408,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2015,1,20,33658,743,5364,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2015,2,18,30157,660,4836,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2015,3,19,32167,755,5667,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2015,4,18,34847,819,5534,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2015,5,19,34374,809,6340,0,0,0
40178,The Transportation Management Association Group,Private Provider Reporting on Behalf of a Public Entity,VP,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,7505.0,1978890.0,2015,6,20,40045,938,7548,0,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,7,120,470907,38108,738475,4,0,5
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,8,120,463296,37510,820301,1,0,3
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,9,22,34487,1701,36023,1,0,3
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,9,120,452347,36678,845614,2,0,2
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,10,120,466163,38147,858898,1,0,2
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,11,120,435237,35671,763165,1,0,3
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,CB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,12,22,35995,1785,26182,1,0,0
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,DR,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,12,63,182818,11530,24074,1,0,1
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2015,12,120,462902,37970,754205,3,0,5
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2016,1,120,413253,33849,650668,1,0,3
40004,Metropolitan Transit Authority,Independent Public Agency or Authority of Transit Service,MB,DO,False,44.0,"Nashville-Davidson, TN",563.0,969587.0,484.0,655900.0,2016,3,124,478777,39260,763439,2,0,2
