Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,P_UZA_SM_avg,P_UZA_P_avg,SA_SM_avg,SA_P_avg,M_CB_Count,M_CR_Count,M_DR_Count,M_MB_Count,M_VP_Count,M_LR_Count,M_OTHER_Count,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,Safety Ratio
0,0,1,593956,453682,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.1683626396568096
0,0,2,628642,450014,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.31814609905160646
0,0,0,645240,524267,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,2,622607,609655,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.3212299251373659
0,0,0,698583,673863,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,611357,561601,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.16357054879554825
0,0,1,618388,484713,325.0,569499.0,448.8,389205.4,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.161710770584164
0,0,0,651902,556223,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,2,1,615805,554649,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.48716720390383317
0,0,0,585733,442014,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,378936,222006,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.2638968057930627
0,0,0,367148,203535,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,0,416967,222161,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,434987,231375,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.22989192780473897
0,0,1,438255,240618,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.22817765912539503
0,0,1,486646,262951,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.2054881782651044
0,0,1,515138,281726,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.1941227399260004
0,0,0,446361,246445,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,452711,238847,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.2208914738100024
0,0,1,447767,229603,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.223330437481994
0,0,1,456906,222423,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.21886339859839882
0,0,2,521026,280082,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.38385800324743874
0,1,1,504061,270011,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.39677737416701553
0,0,0,476516,255775,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,498115,264621,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.2007568533370808
0,4,1,495802,263142,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1.0084670896849952
0,0,0,501068,291693,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
0,0,1,510790,360190,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.19577517179271325
0,2,2,509748,361071,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.7847014603294177
0,1,1,475690,328769,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.420441884420526
0,0,0,487521,302876,325.0,569499.0,453.6,389594.2,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0
1,2,1,453195,280906,325.0,569499.0,448.8,389692.0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.8826222707664471
0,0,1,435436,305308,325.0,569499.0,448.8,389692.0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.22965487465436943
0,0,1,516657,360079,325.0,569499.0,448.8,389692.0,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.19355200839241507
