Fatalities_sum,Injuries_sum,Events_sum,VRM_sum,Ridership_sum,OT_A_Count,OT_B_Count,OT_C_Count,OT_D_Count,OT_E_Count,OT_F_Count,OT_G_Count,OT_H_Count,OT_I_Count,OT_J_Count,OT_OTHER_Count,ToS_DO_Count,ToS_PT_Count,ToS_TN_Count,ToS_TX_Count,P_UZA_SM_National,P_UZA_P_National,SA_SM_National,SA_P_National,M_CB,M_CR,M_DR,M_LR,M_MB,M_OTHER,M_VP,Safety Ratio
1,3,4,10197739,8102920,51.0,24,1,3,1,2,0,17,0,0,1,51.0,49,0,0,31986.0,101772572.0,46008.0,46075628.0,1,0,0,0,0,0,0,0.07844876202460173
0,0,0,23638,632671,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,524.0,3281212.0,49.0,836620.0,0,0,0,0,0,1,0,0.0
0,0,0,28595385,41566658,16.0,0,0,3,1,3,0,0,0,0,0,7.0,16,0,0,21665.0,82327534.0,24561.0,63764271.0,0,1,0,0,0,0,0,0.0
1,75,63,65114304,8802418,260.0,217,10,3,5,8,10,0,2,2,5,220.0,230,0,72,75865.0,201468911.0,125179.0,116261912.0,0,0,1,0,0,0,0,0.21347076058741257
9,39,56,55406025,340646613,11.0,1,0,2,0,1,0,0,0,0,0,14.0,1,0,0,19569.0,72751547.0,11010.0,40163978.0,0,0,0,0,0,1,0,0.18770521797945258
0,36,32,8473416,41527244,16.0,2,0,1,3,1,0,0,0,0,0,21.0,2,0,0,22114.0,80454272.0,21975.0,64496091.0,0,0,0,1,0,0,0,0.8025098732317639
5,593,337,147365943,431827389,228.0,195,5,5,5,12,3,3,6,2,7,306.0,165,0,0,75729.0,201830491.0,120848.0,119366222.0,0,0,0,0,1,0,0,0.6344749546372461
0,0,1,447499,1923323,2.0,2,0,0,0,0,1,0,1,0,0,4.0,2,0,0,4570.0,15317442.0,1484.0,5914802.0,0,0,0,0,0,1,0,0.22346418651214864
0,23,5,630676,4497965,7.0,0,0,0,0,1,0,0,0,0,0,7.0,1,0,0,9611.0,41627348.0,9168.0,27725437.0,0,0,0,0,0,1,0,4.439680596693072
0,4,3,497747,4198732,5.0,5,0,0,0,0,1,0,0,0,0,9.0,2,0,0,7832.0,23710948.0,3328.0,9021888.0,0,0,0,0,0,1,0,1.4063369543161486
0,4,4,922180,7980947,3.0,2,0,0,0,0,0,0,0,0,0,5.0,0,0,0,5739.0,16687282.0,6537.0,10955025.0,0,0,0,0,0,1,0,0.8675095968249148
0,0,0,2630,159316,0.0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,524.0,1849898.0,11.0,72832.0,0,0,0,0,0,1,0,0.0
0,0,0,19388353,3227104,40.0,11,6,0,2,0,1,1,0,10,1,44.0,28,0,0,37796.0,118255916.0,58857.0,99308020.0,0,0,0,0,0,0,1,0.0
